date_received,product,subproduct,issue,subissue,consumer_complaint_narrative,company_public_response,company_name,state,zip_code,tags,consumer_consent_provided,submitted_via,date_sent_to_company,company_response_to_consumer,timely_response,consumer_disputed,complaint_id
1/2/2020,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,"Hello, I have been receiving weekly calls from a debt collection agency ( ERC ) regarding a debt owed by my ex-wife. I do not know what the debt is, or how much, yet they somehow have my phone number on file and continually call me asking for her. I have spoken with agents at the company multiple times, yet this keeps occurring. I also block the phone number used to contact me, yet they are still able to get through using a different number. This seems like pretty shady tactics to me. The most recent call took place at XXXX Thursday, XX/XX/20. The phone number used was ( XXXX ) XXXX. I will list other numbers they have used recently below : ( XXXX ) XXXX ( XXXX ) XXXX Please help to resolve this issue - I in no way am responsible for this yet I keep getting harassed. And on a personal note, Im glad someone brings up my divorce on a weekly basis I so I can relive all of that again - not only is this bad business practice but frankly it is disrespectful and insulting that this business is choosing not to respect me and my time or personal life experiences. 

Thank You, XXXX XXXX",Company believes it acted appropriately as authorized by contract or law,ERC,WA,98126.0,,Consent provided,Web,1/2/2020,Closed with explanation,TRUE,,3483505
2/22/2023,Debt collection,Other debt,Attempts to collect debt not owed,Debt is not yours,,,ERC,MD,21875.0,Servicemember,,Web,2/22/2023,Closed with explanation,TRUE,,6602706
1/30/2022,Debt collection,Other debt,Attempts to collect debt not owed,Debt is not yours,"ERC, or Enhaced Recovery Company, XXXX, is collecting an unverified debt from XXXX XXXX XXXX that m XXXX XXXX XXXX and XXXX XXXX XXXX XXXX were not able to verify not too long ago. XXXX XXXX XXXX assigned XXXX  XXXX XXXX and XXXX XXXX XXXX XXXX to collect account # XXXX with a balance of {$2600.00} before I submitted a debt verification letter to both companies. They couldnt verify the debt, so they stopped all collections attempts, but XXXX XXXX XXXX continued selling this account to different collections agencies violating the Fair Debt Collection Practices Act ( FDCPA ). 
On XX/XX/2021, I received a letter from XXXX XXXX XXXX XXXX XXXX when they were representinXXXX XXXX XXXX XXXX with the following statements in regards to my debt verification and dispute ; the letter is attached as evidence XXXX received the within XXXX complaint the next day, which was promptly forwarded to the creditor. We are pleased to report that in response, the creditor issued credit adjustments to zero the balance on XX/XX/2021. The matter appears to be resolved in favor of XXXX XXXX. XXXX can confirm that it did not report to the credit bureaus regarding the account. The documents requested have been mailed directly to the consumer in keeping with his request ( XXXX XXXX XXXX, XX/XX/2021 ). 
XXXX XXXX XXXX continues selling this debt to different collection agencies defiantly to harm me without verifying this account or providing the information that I have requested many times before : -CREDITOR/DEBT COLLECTOR DECLARATION Agreement with your client grants you the authority to collect on this alleged debt. 
- Agreement that bears the signature of the alleged debtor wherein they agreed to pay the creditor. 
-Any creditor regarding this account has made any insurance claims. 
-Any Judgments obtained by any creditor regarding this account. 
-Name and address of the alleged creditor. 
-Name on the file of the alleged debtor. 
- Alleged account number. 
-Address on file for the alleged debtor. 
-Amount of alleged debt. 
-Date this alleged debt became payable. 
- Date of original charge off or delinquency. 
-Verification that this debt was assigned or sold to the collector. 
-Complete accounting of alleged debt. 
-Commission for debt collector if collection efforts are successful. 
CLEAR ATTENTION TO THIS REQUEST : This is NOT a request for "" verification '' or proof of my mailing address, a request for VALIDATION made pursuant to 15 USC 1692g Sec. 809 ( b ) of the FDCPA. I respectfully request that your offices provide me with competent evidence that I have any legal obligation to pay you. Because XXXX XXXX XXXX and XXXX XXXX XXXX XXXX was not able to comply with FDCPA per letter that XXXX XXXX XXXX XXXX XXXX XXXXGeneral Counsel sent to XXXX XXXX XXXX XXXX XXXX  employee in XXXX XXXX with address XXXX XXXX XXXX XXXX XXXX, NY, XXXX ) on XX/XX/2021, Letter is attached to this complaint. The complaint about that issue is XXXX Complaint # XXXX. I have also attached a copy of the debt verification letter sent to XXXX XXXX XXXX XXXX.",,ERC,NV,89110.0,,Consent provided,Web,1/30/2022,Closed with explanation,TRUE,,5164264
6/10/2017,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,,Company believes it acted appropriately as authorized by contract or law,ERC,TX,76227.0,Servicemember,Consent not provided,Web,6/10/2017,Closed with explanation,TRUE,,2506414
9/25/2019,Debt collection,Other debt,Attempts to collect debt not owed,Debt is not yours,,Company believes it acted appropriately as authorized by contract or law,ERC,TX,75034.0,,Consent not provided,Web,9/25/2019,Closed with explanation,TRUE,,3386611
1/31/2018,Debt collection,Other debt,Attempts to collect debt not owed,Debt is not yours,,Company believes it acted appropriately as authorized by contract or law,ERC,TX,78550.0,"Older American, Servicemember",Consent not provided,Web,1/31/2018,Closed with explanation,TRUE,,2798557
12/3/2020,Debt collection,Other debt,Attempts to collect debt not owed,Debt is not yours,Enhanced Recovery Company has reported a collection account to my consumer credit file in the amount of XXXX. I do not owe this alleged debt. If Enhanced Recovery Company has the right to collect this debt in accordance with the FDCPA I am asking for validation of this account. This includes ALL contractual documents stating and proving that I am responsible for this account that I agreed to and authorized the alleged debt that Enhanced Recovery Company is attempting to collect. Enhanced Recovery has no legal right to attempt to collect a debt. Enhanced Recovery has not validated this debt nor sent me a notice of collection. Enhanced Recovery is in violation of the FCRA and the FCDPA.,,ERC,TX,77373.0,,Consent provided,Web,12/3/2020,Closed with explanation,TRUE,,3988422
1/25/2020,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,"Collection opened Indicates the date the collection account was opened XX/XX/2019 Payment Info Original loan amount {$290.00} Balance {$290.00} Updated on XX/XX/2019 Contact XXXX XXXX XXXX XXXX, FLXXXX ( XXXX ) XXXX I've contacted this company ten times to remove this collection. I did explain to the company I don't own this debit and you have the wrong personing.",Company believes it acted appropriately as authorized by contract or law,ERC,NJ,7052.0,,Consent provided,Web,1/30/2020,Closed with explanation,TRUE,,3508891
1/26/2018,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,,Company believes it acted appropriately as authorized by contract or law,ERC,NY,11231.0,,Consent not provided,Web,1/26/2018,Closed with explanation,TRUE,,2793572
5/19/2018,Debt collection,Other debt,Attempts to collect debt not owed,Debt is not yours,,Company believes it acted appropriately as authorized by contract or law,ERC,IL,60613.0,,Consent not provided,Web,5/19/2018,Closed with explanation,TRUE,,2911664
12/2/2022,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,,,ERC,TX,77077.0,,Consent not provided,Web,12/2/2022,Closed with explanation,TRUE,,6265578
4/2/2018,Debt collection,Other debt,Attempts to collect debt not owed,Debt is not yours,,Company believes it acted appropriately as authorized by contract or law,ERC,AR,72034.0,,Consent not provided,Web,4/2/2018,Closed with explanation,TRUE,,2861514
7/19/2021,Debt collection,Credit card debt,Attempts to collect debt not owed,Debt is not yours,,,ERC,LA,70737.0,,Consent not provided,Web,7/19/2021,Closed with explanation,TRUE,,4556247
1/16/2020,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,,Company believes it acted appropriately as authorized by contract or law,ERC,NY,10473.0,,Consent not provided,Web,1/16/2020,Closed with explanation,TRUE,,3498955
7/9/2018,Debt collection,Other debt,Attempts to collect debt not owed,Debt is not yours,"I was looking at my credit reports, and do not ever recall owing these people any money. Enhanced recovery, is wrongfully reporting me to XXXX. I demand a verification in writing of this amount owed, which im entighteled to under the fair credit reporting act within 5 days in writing. 











i",Company believes it acted appropriately as authorized by contract or law,ERC,NV,89108,Servicemember,Consent provided,Web,7/9/2018,Closed with explanation,TRUE,,2957514
4/30/2020,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,,,ERC,DE,19973,,Consent not provided,Web,4/30/2020,Closed with explanation,TRUE,,3631134
10/11/2018,Debt collection,Other debt,Attempts to collect debt not owed,Debt is not yours,,Company believes it acted appropriately as authorized by contract or law,ERC,,,Servicemember,,Phone,10/11/2018,Closed with explanation,TRUE,,3043409
3/26/2019,Debt collection,Other debt,Attempts to collect debt not owed,Debt is not yours,,Company believes it acted appropriately as authorized by contract or law,ERC,MD,20602.0,,Consent not provided,Web,3/26/2019,Closed with explanation,TRUE,,3190975
12/12/2019,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,I was checking my credit score today and I saw some Enhanced Recovery Company has opened a collection account on my credit report on behalf of XXXX XXXX XXXX XXXX which caused a drop of 20 points due to a collecting account been opened on XX/XX/2019 stating I owe them XXXX dollars as a debt. First of all i dont know who that collector is nor I received any type of correspondence in writing notifying me regarding the debt. Today I called the Enhanced Recovery Company and talked to the agent XXXX XXXX. She looked up my name along with my last 4 digit social security number my area code and the city I live in she still couldnt locate me in their system. I filed a similar complain against XXXX XXXX XXXX XXXX in XXXX when XXXX XXXX tried to collect the debt of same amount I dont owe to XXXX XXXX XXXX XXXX and they removed the collection account. This is the second time XXXX XXXX XXXX XXXX is illegally destroying my credit score. I request to immediately remove this collection account from my account and restore my points.,,ERC,CA,90059.0,,Consent provided,Web,12/12/2019,Closed with explanation,TRUE,,3466758
3/5/2019,Debt collection,Other debt,Attempts to collect debt not owed,Debt is not yours,,Company believes it acted appropriately as authorized by contract or law,ERC,PA,19129,,Consent not provided,Web,3/5/2019,Closed with explanation,TRUE,,3169399
8/4/2020,Debt collection,Other debt,Attempts to collect debt not owed,Debt is not yours,,,ERC,MA,2122.0,,Consent not provided,Web,8/4/2020,Closed with explanation,TRUE,,3778692
11/12/2021,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,,,ERC,GA,31316.0,,Other,Web,11/12/2021,Closed with explanation,TRUE,,4904870
1/28/2020,Debt collection,Other debt,Attempts to collect debt not owed,Debt is not yours,,,ERC,OH,43551.0,,Consent not provided,Web,1/28/2020,Closed with explanation,TRUE,,3511444
11/18/2020,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,,,ERC,MT,59405.0,,,Fax,12/1/2020,Closed with explanation,TRUE,,3961491
8/29/2017,Debt collection,Other debt,Attempts to collect debt not owed,Debt is not yours,,Company believes it acted appropriately as authorized by contract or law,ERC,FL,33056.0,Servicemember,Consent not provided,Web,8/29/2017,Closed with explanation,TRUE,,2653776
8/27/2020,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,,,ERC,MD,20703.0,,,Referral,8/27/2020,Closed with explanation,TRUE,,3817263
